workerid,assignmentid,Answer.listNumber,Answer.age,Answer.language,Answer.americanenglish,Answer.comments,variable,value,Trial,List,ID,Condition,Context,Target,Response,Adj,VPinf,ConDissonant,OldYoung,OldMiddleYoung,ReallyOldYoung,ConditionYN,ConditionYN2
129,3SLE99ER0NESD1UZQ54QI4PKW1HZBQ,2,4,"English","Yes","",Trial12,3 55-mean-CnC CnC Jack_walked_past_an_old_man_with_a_cane. He_pushed_the_man. 3 mean to_push_the_man,12,3,55-mean-CnC,CnC,Jack_walked_past_an_old_man_with_a_cane.,He_pushed_the_man.,3,mean,to_push_the_man,C,Young,Young,Young,55-mean-CnC,CnC
99,3NS0A6KXC49O4I2A6RW4JFGHCE9ZG7,7,28,"English","Yes","",Trial12,filler filler2Yes filler Charles_served_in_Iraq. He_was_proud_to_have_been_a_solider. 7 proud to_have_been_a_soldier,12,filler,filler2Yes,filler,Charles_served_in_Iraq.,He_was_proud_to_have_been_a_solider.,7,proud,to_have_been_a_soldier,filler,Young,Young,Young,FillerYes,FillerYes
131,392CY0QWG1SMXCKGBM6HAVGOQWZI47,2,23,"English","Yes","",Trial12,3 31-wise-CxD CxD Paul_bought_some_heroin_from_a_street_dealer. He_asked_about_the_return_policy. 7 wise to_ask_about_the_return_policy,12,3,31-wise-CxD,CxD,Paul_bought_some_heroin_from_a_street_dealer.,He_asked_about_the_return_policy.,7,wise,to_ask_about_the_return_policy,D,Young,Young,Young,31-wise-CxD,CxD
19,36DSNE9QZ5ZMWGE4CO6Q0U1TK2NJOT,0,25,"English","Yes","",Trial12,1 43-polite-CxD CxD Chad_was_in_a_meeting_with_his_boss. He_closed_his_eyes. 7 polite to_close_his_eyes,12,1,43-polite-CxD,CxD,Chad_was_in_a_meeting_with_his_boss.,He_closed_his_eyes.,7,polite,to_close_his_eyes,D,Young,Young,Young,43-polite-CxD,CxD
46,3DOCMVPBTNF0XL5DQ7Y5ECI53CONNN,11,32,"English","Yes","",Trial12,12 33-wise-CxC CxC Paul_went_on_a_hike_in_the_Alps. He_wore_hiking_boots. 7 wise to_wear_hiking_boots,12,12,33-wise-CxC,CxC,Paul_went_on_a_hike_in_the_Alps.,He_wore_hiking_boots.,7,wise,to_wear_hiking_boots,C,Old,Middle,Young,33-wise-CxC,CxC
49,33C7UALJVLZCG7BKFIBOZ8F7BGK81C,11,31,"english","Yes","none",Trial12,12 43-polite-CnC CnC Chad_was_visiting_his_grandmother. He_brought_a_gift. 2 polite to_bring_a_gift,12,12,43-polite-CnC,CnC,Chad_was_visiting_his_grandmother.,He_brought_a_gift.,2,polite,to_bring_a_gift,C,Old,Middle,Young,43-polite-CnC,CnC
7,3CP1TO84PT20IAAE0O4ZS7FL1WX52O,6,38,"english","Yes","",Trial12,7 10-stupid-CxD CxD Zack_was_drinking_a_glass_of_wine. He_took_a_sip. 3 stupid to_take_a_sip,12,7,10-stupid-CxD,CxD,Zack_was_drinking_a_glass_of_wine.,He_took_a_sip.,3,stupid,to_take_a_sip,D,Old,Middle,Young,10-stupid-CxD,CxD
79,3L70J4KAZGNKRQKBS9FXW1MBQ1NAD8,6,57,"english","Yes","",Trial12,7 23-brave-CnD CnD Greg_wrote_a_controversial_article. He_used_a_fake_name. 6 brave to_use_a_fake_name,12,7,23-brave-CnD,CnD,Greg_wrote_a_controversial_article.,He_used_a_fake_name.,6,brave,to_use_a_fake_name,D,Old,Old,ReallyOld,23-brave-CnD,CnD
50,39ASUFLU6X81F964ZEIVMRFURYWXER,3,43,"English","Yes","Thanks+for+the+hit.",Trial12,4 27-lucky-CxD CxD Eve_was_called_in_for_jury_duty. She_was_chosen. 1 lucky to_be_chosen,12,4,27-lucky-CxD,CxD,Eve_was_called_in_for_jury_duty.,She_was_chosen.,1,lucky,to_be_chosen,D,Old,Old,Young,27-lucky-CxD,CxD
70,3C5W7UE9CFRZRXYHGC6EZZK300NXMG,7,33,"English","Yes","Thank+you.",Trial12,8 22-brave-CnD CnD Greg_saw_a_man_hit_a_dog. He_walked_away. 5 brave to_walk_away,12,8,22-brave-CnD,CnD,Greg_saw_a_man_hit_a_dog.,He_walked_away.,5,brave,to_walk_away,D,Old,Middle,Young,22-brave-CnD,CnD
115,3N1FSUEFL515P14UJ856JY0BYRRD40,1,26,"English","Yes","Some+of+the+sentences+were+ambiguous+or+logically+unsound+to+me%2C+which+why+I+responded+neither+%22yes%22+nor+%22no%22.",Trial12,2 10-stupid-CxC CxC Zack_saw_two_wasps_in_his_drink. He_took_a_sip. 4 stupid to_take_a_sip,12,2,10-stupid-CxC,CxC,Zack_saw_two_wasps_in_his_drink.,He_took_a_sip.,4,stupid,to_take_a_sip,C,Young,Young,Young,10-stupid-CxC,CxC
80,3WETL7AQWT9P3S6X4OI4BHKD7AX53Z,0,35,"english","Yes","",Trial12,1 2-smart-CxD CxD Jane_was_prank-calling_people. She_called_the_police. 4 smart to_call_the_police,12,1,2-smart-CxD,CxD,Jane_was_prank-calling_people.,She_called_the_police.,4,smart,to_call_the_police,D,Old,Middle,Young,2-smart-CxD,CxD
133,3C2NJ6JBKAI48ZGK4O0LMOF7SHX2NB,6,22,"english","Yes","Quick+and+thorough+experiment+on+the+English+language.",Trial12,7 10-stupid-CxD CxD Zack_was_drinking_a_glass_of_wine. He_took_a_sip. 7 stupid to_take_a_sip,12,7,10-stupid-CxD,CxD,Zack_was_drinking_a_glass_of_wine.,He_took_a_sip.,7,stupid,to_take_a_sip,D,Young,Young,Young,10-stupid-CxD,CxD
116,3F0BG9B9MPO56ZH4H2QRZVUM7HNY7D,1,23,"english","Yes","Thank+you!",Trial12,2 30-lucky-CxD CxD Eve_was_the_best_student_in_this_class. She_got_a_B. 1 lucky to_get_a_B,12,2,30-lucky-CxD,CxD,Eve_was_the_best_student_in_this_class.,She_got_a_B.,1,lucky,to_get_a_B,D,Young,Young,Young,30-lucky-CxD,CxD
52,3GNA64GUZE5HATCZ2ZU0OPDOH2B5Q2,11,46,"English","Yes","",Trial12,filler filler2Yes filler Charles_served_in_Iraq. He_was_proud_to_have_been_a_solider. 7 proud to_have_been_a_soldier,12,filler,filler2Yes,filler,Charles_served_in_Iraq.,He_was_proud_to_have_been_a_solider.,7,proud,to_have_been_a_soldier,filler,Old,Old,Young,FillerYes,FillerYes
86,3QRYMNZ7FYIYSYAXN3KHNBOXSUATNU,6,43,"English","Yes","It+was+an+interesting+study.",Trial12,7 58-mean-CxD CxD Jack's_wife_had_asked_him_to_wake_her_really_early. He_woke_her_up_at_5am. 4 mean to_wake_her_up_at_5am,12,7,58-mean-CxD,CxD,Jack's_wife_had_asked_him_to_wake_her_really_early.,He_woke_her_up_at_5am.,4,mean,to_wake_her_up_at_5am,D,Old,Old,Young,58-mean-CxD,CxD
36,3STRJBFXOWSXKSPUQQS1VJ7TYZ5KTG,7,28,"english","Yes","",Trial12,8 50-rude-CnD CnD Ann_was_visiting_her_older_brother. She_brought_a_gift. 7 rude to_bring_a_gift,12,8,50-rude-CnD,CnD,Ann_was_visiting_her_older_brother.,She_brought_a_gift.,7,rude,to_bring_a_gift,D,Young,Young,Young,50-rude-CnD,CnD
3,3Z3ZLGNNSIVEWEPVOG679SF436L3QB,8,42,"english","Yes","none",Trial12,9 13-fortunate-CnD CnD Sue_was_bitten_by_a_shark. She_lost_a_leg. 3 fortunate to_lose_a_leg,12,9,13-fortunate-CnD,CnD,Sue_was_bitten_by_a_shark.,She_lost_a_leg.,3,fortunate,to_lose_a_leg,D,Old,Old,Young,13-fortunate-CnD,CnD
113,3GFK2QRXX9IMUQ8LE8T6GEVA53S5W6,1,42,"English","Yes","",Trial12,filler filler2No filler Ross_was_doing_his_laundry. He_didn't_manage_to_find_coins_anywhere. 1 manage to_find_coins_anywhere,12,filler,filler2No,filler,Ross_was_doing_his_laundry.,He_didn't_manage_to_find_coins_anywhere.,1,manage,to_find_coins_anywhere,filler,Old,Old,Young,FillerNo,FillerNo
72,3EA3QWIZ4IW6EXZ6QN7PI3SG6VGIT3,8,26,"english","Yes","",Trial12,9 8-stupid-CnD CnD Zack_left_the_bar_drunk. He_called_a_taxi. 7 stupid to_call_a_taxi,12,9,8-stupid-CnD,CnD,Zack_left_the_bar_drunk.,He_called_a_taxi.,7,stupid,to_call_a_taxi,D,Young,Young,Young,8-stupid-CnD,CnD
63,3IAEQB9FMELHY3NETEBPEQJ2IKQDWM,8,28,"English","Yes","",Trial12,filler filler1Yes filler Fran_lived_in_Paris. She_wasn't_sad_to_live_alone. 7 sad to_live_alone,12,filler,filler1Yes,filler,Fran_lived_in_Paris.,She_wasn't_sad_to_live_alone.,7,sad,to_live_alone,filler,Young,Young,Young,FillerYes,FillerYes
41,3JRJSWSMQHMPZBZQFPB7FBQQK3WE39,9,39,"English","Yes","",Trial12,10 59-mean-CnD CnD Jack_bumped_his_shopping_cart_into_a_woman. He_apologized_to_her. 7 mean to_apologize_to_her,12,10,59-mean-CnD,CnD,Jack_bumped_his_shopping_cart_into_a_woman.,He_apologized_to_her.,7,mean,to_apologize_to_her,D,Old,Middle,Young,59-mean-CnD,CnD
35,3H0W84IWBK3HIDKSQFC3X9T6QHCREQ,2,23,"ENGLISH","Yes","",Trial12,filler filler3Yes filler Tess_participated_in_a_marathon. She_was_happy_to_cross_the_finish_line. 7 happy to_cross_the_finish_line,12,filler,filler3Yes,filler,Tess_participated_in_a_marathon.,She_was_happy_to_cross_the_finish_line.,7,happy,to_cross_the_finish_line,filler,Young,Young,Young,FillerYes,FillerYes
5,3FDJT1UU749VZQE4PUA3S31FIWKK5Q,4,25,"English","Yes","",Trial12,5 33-wise-CxD CxD Paul_went_into_the_public_pool. He_wore_hiking_boots. 7 wise to_wear_hiking_boots,12,5,33-wise-CxD,CxD,Paul_went_into_the_public_pool.,He_wore_hiking_boots.,7,wise,to_wear_hiking_boots,D,Young,Young,Young,33-wise-CxD,CxD
40,3FTF2T8WLRJ5VDAXHY6NSU0CRZC9W2,3,31,"English","Yes","no",Trial12,filler filler2No filler Ross_was_doing_his_laundry. He_didn't_manage_to_find_coins_anywhere. 1 manage to_find_coins_anywhere,12,filler,filler2No,filler,Ross_was_doing_his_laundry.,He_didn't_manage_to_find_coins_anywhere.,1,manage,to_find_coins_anywhere,filler,Old,Middle,Young,FillerNo,FillerNo
96,3EFE17QCRC6532B7V5KE8MVF4ZOSHW,5,25,"English","Yes","None.",Trial12,6 30-lucky-CnD CnD Eve_was_in_a_car_accident. She_broke_her_neck. 7 lucky to_break_her_neck,12,6,30-lucky-CnD,CnD,Eve_was_in_a_car_accident.,She_broke_her_neck.,7,lucky,to_break_her_neck,D,Young,Young,Young,30-lucky-CnD,CnD
9,3BEFOD78W6U8TVA7W1492ON575K4MA,5,52,"english","Yes","",Trial12,6 56-mean-CnC CnC Jack_saw_a_hungry_dog. He_pretended_to_have_food_for_him. 1 mean to_pretend_to_have_food_for_him,12,6,56-mean-CnC,CnC,Jack_saw_a_hungry_dog.,He_pretended_to_have_food_for_him.,1,mean,to_pretend_to_have_food_for_him,C,Old,Old,ReallyOld,56-mean-CnC,CnC
100,3OCHAWUVGOL419YEV0TYKMSZBVTXKC,1,52,"English","Yes","I+thought+the+questions+were+pretty+direct.",Trial12,filler filler3Yes filler Tess_participated_in_a_marathon. She_was_happy_to_cross_the_finish_line. 7 happy to_cross_the_finish_line,12,filler,filler3Yes,filler,Tess_participated_in_a_marathon.,She_was_happy_to_cross_the_finish_line.,7,happy,to_cross_the_finish_line,filler,Old,Old,ReallyOld,FillerYes,FillerYes
14,3A4TN5196KJPWLMBYJUETHRXIW3CHN,11,24,"English","Yes","",Trial12,filler filler2Yes filler Charles_served_in_Iraq. He_was_proud_to_have_been_a_solider. 7 proud to_have_been_a_soldier,12,filler,filler2Yes,filler,Charles_served_in_Iraq.,He_was_proud_to_have_been_a_solider.,7,proud,to_have_been_a_soldier,filler,Young,Young,Young,FillerYes,FillerYes
97,3HPZF4IVNMUBIGC08JY2FHM08SGCYM,1,26,"English","Yes","",Trial12,filler filler1Yes filler Fran_lived_in_Paris. She_wasn't_sad_to_live_alone. 7 sad to_live_alone,12,filler,filler1Yes,filler,Fran_lived_in_Paris.,She_wasn't_sad_to_live_alone.,7,sad,to_live_alone,filler,Young,Young,Young,FillerYes,FillerYes
51,3LRLIPTPEQAS5WQLKQ1K0EH1AAMAKN,10,56,"English","Yes","It+was+strange!++found+myself+reading+and+re-reading+some+of+the+sentences",Trial12,11 30-lucky-CxC CxC Eve_did_not_understand_her_chemistry_class. She_got_a_B. 3 lucky to_get_a_B,12,11,30-lucky-CxC,CxC,Eve_did_not_understand_her_chemistry_class.,She_got_a_B.,3,lucky,to_get_a_B,C,Old,Old,ReallyOld,30-lucky-CxC,CxC
37,30LSNF239UWCUY5T78NTHGJQ6I52IX,9,32,"english","Yes","The+sentence+structures+are+very+weird.++I'm+not+sure+if+that's+on+purpose+or+not%2C+but+it's+not+the+way+English+is+usually+spoken+in+the+US.++(Not+sure+it+that's+helpful%2C+but+just+thought+you+should+know.)+",Trial12,10 42-foolish-CnC CnC Kate_took_her_nephew_to_the_playground. She_wore_high_heels. 7 foolish to_wear_high_heels,12,10,42-foolish-CnC,CnC,Kate_took_her_nephew_to_the_playground.,She_wore_high_heels.,7,foolish,to_wear_high_heels,C,Old,Middle,Young,42-foolish-CnC,CnC
134,39OWYR0EPKSILSWAZLO3NN73558YFJ,6,33,"english","Yes","",Trial12,7 58-mean-CxD CxD Jack's_wife_had_asked_him_to_wake_her_really_early. He_woke_her_up_at_5am. 7 mean to_wake_her_up_at_5am,12,7,58-mean-CxD,CxD,Jack's_wife_had_asked_him_to_wake_her_really_early.,He_woke_her_up_at_5am.,7,mean,to_wake_her_up_at_5am,D,Old,Middle,Young,58-mean-CxD,CxD
56,33OOO72IVHMF1UD6YDB370ULTQYTCE,3,21,"english","Yes","",Trial12,4 5-smart-CnD CnD Jane's_computer_was_hacked. She_kept_using_the_same_passwords. 7 smart to_keep_using_the_same_passwords,12,4,5-smart-CnD,CnD,Jane's_computer_was_hacked.,She_kept_using_the_same_passwords.,7,smart,to_keep_using_the_same_passwords,D,Young,Young,Young,5-smart-CnD,CnD
93,3PW9OPU9PQL1US9VZ12NPH24PGV125,3,28,"English","Yes","",Trial12,filler filler2Yes filler Charles_served_in_Iraq. He_was_proud_to_have_been_a_solider. 7 proud to_have_been_a_soldier,12,filler,filler2Yes,filler,Charles_served_in_Iraq.,He_was_proud_to_have_been_a_solider.,7,proud,to_have_been_a_soldier,filler,Young,Young,Young,FillerYes,FillerYes
107,3NQL1CS15R97HPI0Z0T759APTZWVY4,6,33,"english","Yes","",Trial12,filler filler1No filler Earl_had_a_bad_toothache. He_forgot_to_call_his_dentist. 1 forget to_call_his_dentist,12,filler,filler1No,filler,Earl_had_a_bad_toothache.,He_forgot_to_call_his_dentist.,1,forget,to_call_his_dentist,filler,Old,Middle,Young,FillerNo,FillerNo
31,324G5B4FB39894LJ9UFI7302V4A07G,7,29,"English","Yes","It+was+different+and+very+interesting.",Trial12,filler filler3No filler Liv_went_on_a_trip_to_Europe. She_failed_to_visit_Italy. 1 fail to_visit_Italy,12,filler,filler3No,filler,Liv_went_on_a_trip_to_Europe.,She_failed_to_visit_Italy.,1,fail,to_visit_Italy,filler,Old,Young,Young,FillerNo,FillerNo
38,3A9AA95ATWNWAHBK2MFBOKNEC6R5PD,9,28,"English","Yes","",Trial12,10 35-wise-CnC CnC Paul_was_staying_in_a_bad_part_of_town. He_stayed_at_home_at_night. 7 wise to_stay_at_home_at_night,12,10,35-wise-CnC,CnC,Paul_was_staying_in_a_bad_part_of_town.,He_stayed_at_home_at_night.,7,wise,to_stay_at_home_at_night,C,Young,Young,Young,35-wise-CnC,CnC
2,31Q0U3WYDPG8GT615DJIL8JC0WH17L,10,48,"English","Yes","At+first+I+think+I+was+reading+the+questions+the+wrong+way.+It+was+an+interesting+survey.",Trial12,11 30-lucky-CxC CxC Eve_did_not_understand_her_chemistry_class. She_got_a_B. 1 lucky to_get_a_B,12,11,30-lucky-CxC,CxC,Eve_did_not_understand_her_chemistry_class.,She_got_a_B.,1,lucky,to_get_a_B,C,Old,Old,Young,30-lucky-CxC,CxC
89,3BF51CHDTVB52TRVM31UYGPW9760HI,0,19,"English","Yes","",Trial12,1 59-mean-CnC CnC Jack_bumped_his_shopping_cart_into_a_woman. He_laughed_when_she_cried. 3 mean to_laugh_when_she_cried,12,1,59-mean-CnC,CnC,Jack_bumped_his_shopping_cart_into_a_woman.,He_laughed_when_she_cried.,3,mean,to_laugh_when_she_cried,C,Young,Young,Young,59-mean-CnC,CnC
44,369J354OFDBMG8IZ4MZTMHNM7AFG60,5,34,"English","Yes","fascinating.+I+really+had+to+think+on+the+answers.+Thanks",Trial12,filler filler3No filler Liv_went_on_a_trip_to_Europe. She_failed_to_visit_Italy. 1 fail to_visit_Italy,12,filler,filler3No,filler,Liv_went_on_a_trip_to_Europe.,She_failed_to_visit_Italy.,1,fail,to_visit_Italy,filler,Old,Middle,Young,FillerNo,FillerNo
119,37ZHEEHM6WN4QWKGSHX191Y9YGU37E,11,31,"English","Yes","",Trial12,12 16-fortunate-CnD CnD Sue_was_training_to_become_a_dancer. She_developed_back_problems. 5 fortunate to_develop_back_problems,12,12,16-fortunate-CnD,CnD,Sue_was_training_to_become_a_dancer.,She_developed_back_problems.,5,fortunate,to_develop_back_problems,D,Old,Middle,Young,16-fortunate-CnD,CnD
69,3MX2NQ3YC9V1JQDBODPSIX9HE505X1,8,21,"English","Yes","",Trial12,filler filler2Yes filler Charles_served_in_Iraq. He_was_proud_to_have_been_a_solider. 7 proud to_have_been_a_soldier,12,filler,filler2Yes,filler,Charles_served_in_Iraq.,He_was_proud_to_have_been_a_solider.,7,proud,to_have_been_a_soldier,filler,Young,Young,Young,FillerYes,FillerYes
104,3YGXWBAF70IVK9YGJCAVZSITDRI4CU,11,23,"English","Yes","",Trial12,filler filler2Yes filler Charles_served_in_Iraq. He_was_proud_to_have_been_a_solider. 7 proud to_have_been_a_soldier,12,filler,filler2Yes,filler,Charles_served_in_Iraq.,He_was_proud_to_have_been_a_solider.,7,proud,to_have_been_a_soldier,filler,Young,Young,Young,FillerYes,FillerYes
127,39LNWE0K4UXLEAEVQSXZNZEIP9PIUW,0,37,"english","Yes","",Trial12,1 36-wise-CxD CxD Paul_had_an_inefficient_employee. He_promoted_her. 3 wise to_promote_her,12,1,36-wise-CxD,CxD,Paul_had_an_inefficient_employee.,He_promoted_her.,3,wise,to_promote_her,D,Old,Middle,Young,36-wise-CxD,CxD
58,3LRKMWOKB5IYPOU37CBFHBMG2V72ZU,6,23,"English","Yes","",Trial12,7 17-fortunate-CxD CxD Sue_is_allergic_to_pollen. She_had_a_flower_bouquet. 5 fortunate to_have_a_flower_bouquet,12,7,17-fortunate-CxD,CxD,Sue_is_allergic_to_pollen.,She_had_a_flower_bouquet.,5,fortunate,to_have_a_flower_bouquet,D,Young,Young,Young,17-fortunate-CxD,CxD
92,3P1L2B7AD1QSR624F9I3G9ELORVLO0,10,24,"English","Yes","",Trial12,11 21-brave-CxD CxD Greg_was_asked_to_mow_his_neighbor's_lawn. He_took_the_job. 7 brave to_take_the_job,12,11,21-brave-CxD,CxD,Greg_was_asked_to_mow_his_neighbor's_lawn.,He_took_the_job.,7,brave,to_take_the_job,D,Young,Young,Young,21-brave-CxD,CxD
21,3WEV0KO0OMTORM65991OH1GHC7WDS9,8,24,"English","Yes","",Trial12,filler filler1No filler Earl_had_a_bad_toothache. He_forgot_to_call_his_dentist. 1 forget to_call_his_dentist,12,filler,filler1No,filler,Earl_had_a_bad_toothache.,He_forgot_to_call_his_dentist.,1,forget,to_call_his_dentist,filler,Young,Young,Young,FillerNo,FillerNo
27,3N2BF7Y2VQV257Y2B8OSWDW9CA8HMB,2,29,"English","Yes","",Trial12,filler filler2Yes filler Charles_served_in_Iraq. He_was_proud_to_have_been_a_solider. 7 proud to_have_been_a_soldier,12,filler,filler2Yes,filler,Charles_served_in_Iraq.,He_was_proud_to_have_been_a_solider.,7,proud,to_have_been_a_soldier,filler,Old,Young,Young,FillerYes,FillerYes
112,37W3JXSD669KWEI5PAY3RBT308YYWH,9,69,"English","Yes","Very+interesting!",Trial12,10 46-polite-CnC CnC Chad_was_standing_in_front_of_his_friend's_door. He_knocked_gently. 1 polite to_knock_gently,12,10,46-polite-CnC,CnC,Chad_was_standing_in_front_of_his_friend's_door.,He_knocked_gently.,1,polite,to_knock_gently,C,NA,NA,NA,46-polite-CnC,CnC
67,3ATTHHXXWAPDVE8QVX8M76DMJR6IXO,10,57,"english","Yes","Some+of+those+sentences+were+worded+so+that+it+was+hard+to+tell+if+a+word+had+been+left+out+or+what.++It+changes+the+meaning%2C+depending+on+how+you+read+it....",Trial12,filler filler3No filler Liv_went_on_a_trip_to_Europe. She_failed_to_visit_Italy. 1 fail to_visit_Italy,12,filler,filler3No,filler,Liv_went_on_a_trip_to_Europe.,She_failed_to_visit_Italy.,1,fail,to_visit_Italy,filler,Old,Old,ReallyOld,FillerNo,FillerNo
121,3FTOP5WARFP1TZMLA34FAT5BMZAJ06,0,65,"English","Yes","",Trial12,filler filler3No filler Liv_went_on_a_trip_to_Europe. She_failed_to_visit_Italy. 1 fail to_visit_Italy,12,filler,filler3No,filler,Liv_went_on_a_trip_to_Europe.,She_failed_to_visit_Italy.,1,fail,to_visit_Italy,filler,Old,Old,ReallyOld,FillerNo,FillerNo
55,3D3VGR7TA0GE8F4V1VV7EIP9ZSP3RE,3,25,"English","Yes","",Trial12,4 33-wise-CnD CnD Paul_ran_a_marathon_on_Sunday. He_got_very_drunk_the_night_before. 7 wise to_get_very_drunk_the_night_before,12,4,33-wise-CnD,CnD,Paul_ran_a_marathon_on_Sunday.,He_got_very_drunk_the_night_before.,7,wise,to_get_very_drunk_the_night_before,D,Young,Young,Young,33-wise-CnD,CnD
122,3IHR8NYAM72EEY7KOHW1JSH0CAX4P8,10,20,"English","Yes","",Trial12,11 50-rude-CxD CxD Ann's_boyfriend_made_fun_of_her_haircut. She_ignored_him. 3 rude to_ignore_him,12,11,50-rude-CxD,CxD,Ann's_boyfriend_made_fun_of_her_haircut.,She_ignored_him.,3,rude,to_ignore_him,D,Young,Young,Young,50-rude-CxD,CxD
60,3Q8GYXHFEP3DGS2GXHT54KO7DNDC57,0,60,"English","Yes","None",Trial12,1 18-fortunate-CxC CxC Sue_needed_to_get_some_rest. She_fell_asleep. 7 fortunate to_fall_asleep,12,1,18-fortunate-CxC,CxC,Sue_needed_to_get_some_rest.,She_fell_asleep.,7,fortunate,to_fall_asleep,C,Old,Old,ReallyOld,18-fortunate-CxC,CxC
90,3TPZPLC3M0DTW2OGO3RI9NPUYA0P37,8,31,"English","Yes","Thank+you%2C+very+easy+to+understand+study.",Trial12,filler filler1No filler Earl_had_a_bad_toothache. He_forgot_to_call_his_dentist. 1 forget to_call_his_dentist,12,filler,filler1No,filler,Earl_had_a_bad_toothache.,He_forgot_to_call_his_dentist.,1,forget,to_call_his_dentist,filler,Old,Middle,Young,FillerNo,FillerNo
65,3SNLUL3WO4ON4BM1BVUCFF6A6DJLUD,10,20,"English","Yes","This+was+very+interesting.",Trial12,11 39-foolish-CxC CxC Kate_was_drunk_at_a_bar. She_took_her_top_off. 1 foolish to_take_her_top_off,12,11,39-foolish-CxC,CxC,Kate_was_drunk_at_a_bar.,She_took_her_top_off.,1,foolish,to_take_her_top_off,C,Young,Young,Young,39-foolish-CxC,CxC
8,3DL65MZB8DGDCBV98IM88EUKQGBEC9,5,23,"English","Yes","",Trial12,6 9-stupid-CxC CxC Zack_was_sitting_in_the_bath_tub. He_used_the_hair_dryer. 2 stupid to_use_the_hair_dryer,12,6,9-stupid-CxC,CxC,Zack_was_sitting_in_the_bath_tub.,He_used_the_hair_dryer.,2,stupid,to_use_the_hair_dryer,C,Young,Young,Young,9-stupid-CxC,CxC
24,3RANCT1ZVFIBR20PKI5I1CA5UJ5UBZ,8,31,"English","Yes","",Trial12,9 37-foolish-CxC CxC Kate_was_completely_broke. She_went_shopping. 5 foolish to_go_shopping,12,9,37-foolish-CxC,CxC,Kate_was_completely_broke.,She_went_shopping.,5,foolish,to_go_shopping,C,Old,Middle,Young,37-foolish-CxC,CxC
32,3O6CYIULED23F5Y0F91EOQNQ4KNWUH,1,33,"English","Yes","This+was+interesting!",Trial12,filler filler1Yes filler Fran_lived_in_Paris. She_wasn't_sad_to_live_alone. 6 sad to_live_alone,12,filler,filler1Yes,filler,Fran_lived_in_Paris.,She_wasn't_sad_to_live_alone.,6,sad,to_live_alone,filler,Old,Middle,Young,FillerYes,FillerYes
30,3V5Q80FXIXSX4VNAM5G6DAH1N0923Y,8,22,"English","Yes","",Trial12,9 33-wise-CnC CnC Paul_ran_a_marathon_on_Sunday. He_went_to_bed_early_the_night_before. 7 wise to_go_to_bed_early_the_night_before,12,9,33-wise-CnC,CnC,Paul_ran_a_marathon_on_Sunday.,He_went_to_bed_early_the_night_before.,7,wise,to_go_to_bed_early_the_night_before,C,Young,Young,Young,33-wise-CnC,CnC
123,386CSBG1OZNDTXCD7I45GVRODXP6QM,3,27,"english","Yes","",Trial12,4 53-rude-CnC CnC Ann_had_insulted_her_husband. She_laughed_at_his_tears. 1 rude to_laugh_at_his_tears,12,4,53-rude-CnC,CnC,Ann_had_insulted_her_husband.,She_laughed_at_his_tears.,1,rude,to_laugh_at_his_tears,C,Young,Young,Young,53-rude-CnC,CnC
111,3T111IHZ5ER0NHTBI4WH5VSVZKYR9I,3,21,"English","Yes","Thank+you+very+much!",Trial12,filler filler1Yes filler Fran_lived_in_Paris. She_wasn't_sad_to_live_alone. 7 sad to_live_alone,12,filler,filler1Yes,filler,Fran_lived_in_Paris.,She_wasn't_sad_to_live_alone.,7,sad,to_live_alone,filler,Young,Young,Young,FillerYes,FillerYes
59,3IOEN3P9S7KPCTSWM3EQFUJG5LW61Q,6,34,"English","Yes","",Trial12,7 23-brave-CnD CnD Greg_wrote_a_controversial_article. He_used_a_fake_name. 7 brave to_use_a_fake_name,12,7,23-brave-CnD,CnD,Greg_wrote_a_controversial_article.,He_used_a_fake_name.,7,brave,to_use_a_fake_name,D,Old,Middle,Young,23-brave-CnD,CnD
83,3L4PIM1GQTHFOI1JQGOX4CLM8ULYRI,0,42,"English","Yes","",Trial12,1 59-mean-CnC CnC Jack_bumped_his_shopping_cart_into_a_woman. He_laughed_when_she_cried. 3 mean to_laugh_when_she_cried,12,1,59-mean-CnC,CnC,Jack_bumped_his_shopping_cart_into_a_woman.,He_laughed_when_she_cried.,3,mean,to_laugh_when_she_cried,C,Old,Old,Young,59-mean-CnC,CnC
26,3IO1LGZLK9Y7NTCHLON5U46OJS468E,9,21,"English","Yes","",Trial12,10 9-stupid-CxD CxD Zack_had_wet_hair. He_used_the_hair_dryer. 1 stupid to_use_the_hair_dryer,12,10,9-stupid-CxD,CxD,Zack_had_wet_hair.,He_used_the_hair_dryer.,1,stupid,to_use_the_hair_dryer,D,Young,Young,Young,9-stupid-CxD,CxD
118,3R08VXYT7CW1HUM42183EY96WARW7I,5,37,"english","Yes","",Trial12,6 9-stupid-CxC CxC Zack_was_sitting_in_the_bath_tub. He_used_the_hair_dryer. 1 stupid to_use_the_hair_dryer,12,6,9-stupid-CxC,CxC,Zack_was_sitting_in_the_bath_tub.,He_used_the_hair_dryer.,1,stupid,to_use_the_hair_dryer,C,Old,Middle,Young,9-stupid-CxC,CxC
